NPU Peak TOPS:,Turbo Boost до:,price,title,url,Архитектура:,Брой транзистори:,Гаранционен срок:,Графично ядро:,Кеш памет:,Логически ядра:,Максимална консумация (TDP):,Множител:,Модел:,Окомплектовка:,Охладител:,Производствен процес:,Работна честота:,"Размери на опаковката, см:",Сокет:,Тегло с опаковката:,Физически ядра:
,4.70 GHz,Ft112550.40,Процесор Intel Core i5-14400 (2.5GHz) - BX8071514400,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-bx8071514400-380861,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 9.5 MB L3: 20 MB,16,65 W,,Intel Core i5-14400,С опаковка,Intel Laminar RM1,10 nm,2.50 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,10
,4.40 GHz,Ft45919.00,Процесор Intel Core i5-12400F (2.5GHz) - BX8071512400FSRL4W,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-bx8071512400fsrl4w-242514,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12400F,С опаковка,Да,10 nm,2.50 GHz,,LGA1700,,6
,5.30 GHz,Ft107274.60,Процесор Intel Core i5-14600K (3.5GHz) TRAY - CM8071504821015,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-tray-cm8071504821015-460332,,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 20 MB L3: 24 MB,20,125 W,,Intel Core i5-14600K,Без опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,5.10 GHz,Ft110987.20,Процесор Intel Core i5-13600K (2.6GHz) TRAY - CM8071504821005,https://www.ardes.bg/product/intel-core-i5-13600k-2-6ghz-tray-cm8071504821005-465401,Raptor Lake-S,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 20 MB L3: 24 MB,20,181 W,35,Intel Core i5-13600K,Без опаковка,Не,10 nm,2.60 GHz,,LGA1700,,14
,4.60 GHz,Ft78746.20,Процесор Intel Core i5-12500 (3.0GHz) - BX8071512500SRL5V,https://www.ardes.bg/product/intel-core-i5-12500-3-0ghz-bx8071512500srl5v-242511,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12500,С опаковка,Да,10 nm,3.00 GHz,,LGA1700,,6
,5.00 GHz,Ft108251.60,Процесор Intel Core i5-14500 (2.6GHz) - BX8071514500,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-bx8071514500-380875,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 11.5 MB L3: 24 MB,20,65 W,,Intel Core i5-14500,С опаковка,Intel Laminar RM1,10 nm,2.60 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,14
,4.40 GHz,Ft58424.60,Процесор Intel Core i5-11400 (2.6GHz) TRAY - CM8070804497015,https://www.ardes.bg/product/intel-core-i5-11400-2-6ghz-tray-cm8070804497015-217146,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 3 MB L3: 12 MB,12,65 W,,Intel Core i5-11400,Без опаковка,Не,14 nm,2.60 GHz,,LGA1200,,6
,4.40 GHz,Ft48654.60,Процесор Intel Core i5-12400F (2.5GHz) TRAY - CM8071504555318,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-tray-cm8071504555318-259998,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12400F,Без опаковка,Не,10 nm,2.50 GHz,,LGA1700,,6
,4.40 GHz,Ft76401.40,Процесор Intel Core i5-12400 (2.5GHz) TRAY - CM8071504555317,https://www.ardes.bg/product/intel-core-i5-12400-2-5ghz-tray-cm8071504555317-244001,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12400,Без опаковка,Не,10 nm,2.50 GHz,,LGA1700,,6
,5.10 GHz,Ft89688.60,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-13600kf-3-5ghz-tray-cm8071504821006-449919,Raptor Lake,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 20 MB L3: 24 MB,20,181 W,35,Intel Core i5-13600KF,Без опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
