Turbo Boost до:,currency,page,price,source,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:
4.60 GHz,BGN,1,лв375.52,Ardes.bg,Процесор Intel Core i5-13400F (1.8GHz) - BX8071513400F,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-bx8071513500-307230,36 месеца гаранция,L3: 20 MB,16,1.80 GHz,LGA1700,10
4.60 GHz,BGN,1,лв375.52,Ardes.bg,Процесор Intel Core i5-13400F (1.8GHz) - BX8071513400F,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-bx8071513500-307230,36 месеца гаранция,L3: 20 MB,16,1.80 GHz,LGA1700,10
4.40 GHz,BGN,1,лв461.58,Ardes.bg,Процесор Intel Core i5-12400 (2.5GHz) - BX8071512400SRL5Y,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
4.40 GHz,BGN,1,лв461.58,Ardes.bg,Процесор Intel Core i5-12400 (2.5GHz) - BX8071512400SRL5Y,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
4.80 GHz,BGN,1,лв620.00,Ardes.bg,Процесор Intel Core i5-13500 (1.8GHz) TRAY - CM8071505093101,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071505093011-513737,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,1.80 GHz,LGA1700,14
4.80 GHz,BGN,1,лв620.00,Ardes.bg,Процесор Intel Core i5-13500 (1.8GHz) TRAY - CM8071505093101,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071505093011-513737,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,1.80 GHz,LGA1700,14
4.90 GHz,BGN,1,лв348.14,Ardes.bg,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-tray-cm8071505093104-510302,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,3.60 GHz,LGA1700,10
4.90 GHz,BGN,1,лв348.14,Ardes.bg,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-tray-cm8071505093104-510302,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,3.60 GHz,LGA1700,10
4.90 GHz,BGN,1,лв567.19,Ardes.bg,Процесор Intel Core i7-12700F (2.1GHz) - BX8071512700FSRL4R,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-tray-cm8071504821112-501437,36 месеца гаранция,L3: 25 MB,20,2.10 GHz,LGA1700,12
4.90 GHz,BGN,1,лв567.19,Ardes.bg,Процесор Intel Core i7-12700F (2.1GHz) - BX8071512700FSRL4R,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-tray-cm8071504821112-501437,36 месеца гаранция,L3: 25 MB,20,2.10 GHz,LGA1700,12
