Turbo Boost до:,currency,page,price,solid state drive (ssd),source,source_currency,source_scraper,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:,видеокарта,височина на опаковката,гаранция,допълнителен вентилатор,допълнително,други опции,дължина на опаковката,дънна платка,захранване,кабели за компоненти,кутия,марка,оперативна памет,операционна система,охладител,процесор,свързаност,твърд диск,термопаста за процесора,цвят,широчина на опаковката
,BGN,,лв1434.00,"1tb kingston nv3
+0€/ +0лв.
 2tb kingston nv3
виж продукта
+146 €/+285.55 лв.",Desktop.bg,BGN,DesktopScraper,G:RIGS SPARK Lite (Intel),https://desktop.bg/grigs-spark-grigs_spark_lite_intel,,,,,,,asrock amd radeon rx 7600 challenger oc,557 мм,36 месеца гаранция,"стандартен брой
+0€/ +0лв.
 промо deepcool fc120 argb
виж продукта
+11 €/+21.51 лв.
пцд: 20€ (-44%)
 промо raijintek ageras 12 argb кит от 2 бр.
виж продукта
+15 €/+29.34 лв.
пцд: 21€ (-28%)
 arctic p14 pwm pst a-rgb black
виж продукта
+15 €/+29.34 лв.","g:rigs spark се изработва със стандартно включени допълнителни елементи:
комплект от 3 висококачествени argb вентилатора - 120mm за оптимално охлаждане и впечатляваща визия.
два предни панела, предлагайки избор от стъклен или меш външен вид на кутията отпред. 
комплект custom/плетени захранващи кабели с индивидуална оплетка.
допълнителна argb led лента, осигуряваща ефектно осветление на вашата g:rigs конфигурация

 

снимките в галерията са илюстративни и е възможно финалния вид на вашата конфигурация да се различава
тези промени могат да настъпят в зависимост от избраните от вас компоненти. промени могат да настъпят и при актуализации на компонентите в g:rigs конфигурацията. ако имате въпроси относно визията на вашата конфигурация моля свържете се екипа ни.
rgb ефектите на вентилаторите и осветлението се управляват с бутон на предния панел и/или чрез софтуер при синхронизация с дънната платка. компоненти с rgb, като ram памети, се контролират чрез софтуера на производителя или на дънната платка (msi center, asus armoury crate и др.)

 

стандартният срок за изработка и доставка - 7 до 12 работни дни
(след потвърждение на поръчката от клиента, освен ако не е посочен друг срок или при форсмажорни обстоятелства).
запазваме си правото да удължим срока при сезонни промоции, като клиентите ще бъдат предварително уведомен.
имате въпроси или нужда от съвет при избор на допълнителни компоненти? свържете се с екипа на g:rigs на нашия телефон или ни пишете.
02 490 1111
grigs@desktop.bg

 

гаранция и тестове
всички g:rigs конфигурации се предлагат с 36 месеца гаранция. за компоненти в конфигурацията с по-дълъг гаранционен срок се прилага удължената гаранция, предоставена от производителя.
всяка конфигурация се настройва и тества индивидуално, включително с актуализация до последна стабилна версия на bios за дънната платка. охлаждането и управлението на вентилаторите се конфигурират според избрания хардуер с цел постигане на максимално тиха и ефективна работа във всички режими.
преди изпращане към клиента, всяка g:rigs конфигурация преминава през специално подбрани тестове с различни натоварвания за проверка на всички компоненти в системата.
цената на асемблирането и настройката е съобразена със сложността на вашата g:rigs конфигурация и е калкулирана в цената ѝ. 

 

важно: g:rigs конфигурациите не се поддържат на склад в готов за изпращане вид.
поради специфичния характер на g:rigs конфигурациите, включително възможността за избор на допълнителни и/или заместващи компоненти в конфигуратора, те се сглобяват и тестват след получаване на поръчка с избраните от клиента елементи. всяка конфигурация, независимо от избора на допълнителни или заместващи компоненти, представлява продукт, изработен по индивидуална клиентска спецификация и желание.
конфигураторът има за цел единствено да подпомогне процеса на избор на потребителя и не следва да се тълкува като стандартен, наличен или предварително изготвен от търговеца продукт, нито да ограничава индивидуалния избор и решение на клиента.
g:rigs компютрите и конфигурациите не се произвеждат предварително, а се изработват, тестват и доставят в определения срок след получаване и потвърждение на индивидуалната поръчка. всяка поръчка е съобразена с индивидуалните предпочитания и специфични изисквания на клиента.
поради това, за всички g:rigs конфигурации не се прилага правото на отказ съгласно чл. 57, т. 3 от закона за защита на потребителите, поради тяхната изработка по поръчка и съобразно индивидуалните изисквания на клиента.
виж още","без персонализация
+0€/ +0лв.
 персонална табела с име или nickname - до 8 символа
виж продукта
+30 €/+58.68 лв.",468 мм,gigabyte b760 ds3h ddr4,"msi mag a650bnl
+0€/ +0лв.
 промо deepcool pk750d 750w bronze
виж продукта
+13 €/+25.43 лв.
пцд: 17€ (-23%)",комплект custom/плетени кабели с червена оплетка,cougar duoface rgb,spark,16gb (2x8gb) ddr4 3200mt/s kingston fury beast black rgb,"с предварително инсталирана операционна система (неактивирана) + инсталирани драйвери и ъпдейти
+0€/ +0лв.
 microsoft windows home 11 oem english 64-битов
виж продукта
+139 €/+271.86 лв.
 microsoft windows pro 11 oem english 64-битов
виж продукта
+165 €/+322.71 лв.",deepcool ag400 bk argb v2,intel core i5-14400f,"стандартна за избрания модел дънна платка
+0€/ +0лв.
 orico bta-53
виж продукта
+9 €/+17.60 лв.
 tp-link ub500
виж продукта
+12 €/+23.47 лв.
 tp-link 300mbps mini wireless n usb adapter
виж продукта
+12 €/+23.47 лв.
 tp-link wireless n usb adapter
виж продукта
+18 €/+35.21 лв.",без допълнителен диск,g:rigs high performance thermal compound,черен,285 мм
,BGN,,лв2529.00,"1tb kingston nv3
+0€/ +0лв.
 1tb crucial t500 ssd gen4 nvme m.2
виж продукта
-5 €/-9.78 лв.
 1tb crucial p310
виж продукта
-4 €/-7.82 лв.
 1tb kingston kc3000 m.2 pcie 4.0 nvme
виж продукта
+1 €/+1.96 лв.
 2tb crucial p310
+50 €/+97.79 лв.
 1tb kingston fury renegade g5
виж продукта
+87 €/+170.16 лв.
 2tb crucial t500 ssd gen4 nvme m.2
виж продукта
+131 €/+256.21 лв.
 2tb samsung 990 evo plus
виж продукта
+144 €/+281.64 лв.
 2tb samsung 990 pro m.2 nvme
виж продукта
+170 €/+332.49 лв.
 2tb kingston kc3000 m.2 pcie 4.0 nvme
виж продукта
+194 €/+379.43 лв.
 2tb kingston fury renegade g5
виж продукта
+234 €/+457.67 лв.
 4tb samsung 990 evo plus
виж продукта
+354 €/+692.37 лв.",Desktop.bg,BGN,DesktopScraper,G:RIGS NEBULA Max (Intel),https://desktop.bg/grigs-nebula-grigs_nebula_max_intel,,,,,,,"palit geforce rtx 5070 infinity 3 12gb
+0€/ +0лв.
 промо inno3d geforce rtx 5070 twin x2 oc 12gb
виж продукта
-4 €/-7.82 лв.
пцд: 90€ (-104%)
 sapphire pulse amd radeon rx 9070 16gb
виж продукта
+76 €/+148.64 лв.
 sapphire nitro+ amd radeon rx 9070 oc 16gb
виж продукта
+91 €/+177.98 лв.
 gigabyte radeon rx 9070 gaming oc 16g
виж продукта
+91 €/+177.98 лв.
 промо msi geforce rtx 5070 12g gaming trio oc
виж продукта
+100 €/+195.58 лв.
пцд: 186€ (-46%)
 промо asus tuf gaming geforce rtx 5070 12gb oc edition
виж продукта
+110 €/+215.14 лв.
пцд: 187€ (-41%)
 sapphire pulse amd radeon rx 9070 xt 16gb
виж продукта
+117 €/+228.83 лв.
 xfx mercury amd radeon rx 9070 xt gaming edition 16gb
+158 €/+309.02 лв.
 sapphire nitro+ amd radeon rx 9070 xt oc 16gb
виж продукта
+214 €/+418.55 лв.
 asrock amd radeon rx 9070 xt steel legend 16gb
виж продукта
+247 €/+483.09 лв.
 xfx quicksilver amd radeon rx 9070 xt gaming edition 16gb
виж продукта
+250 €/+488.96 лв.
 asrock amd radeon rx 9070 xt steel legend dark 16gb
+280 €/+547.63 лв.
 asus prime geforce rtx 5070 12gb oc edition
виж продукта
+339 €/+663.03 лв.
 gigabyte geforce rtx 5080 aero oc sff 16g
+935 €/+1828.71 лв.
 msi geforce rtx 5090 32g ventus 3x oc
виж продукта
+2466 €/+4823.09 лв.",610 мм,36 месеца гаранция,,"g:rigs nebula се изработва със стандартно включени допълнителни елементи:

комплект от 8 висококачествени 120 mm argb вентилатора за оптимално охлаждане и впечатляваща визия.

 комплект custom/плетени захранващи кабели с индивидуална оплетка .

 

снимките в галерията са илюстративни и е възможно финалния вид на вашата конфигурация да се различава
тези промени могат да настъпят в зависимост от избраните от вас компоненти. промени могат да настъпят и при актуализации на компонентите в g:rigs конфигурацията. ако имате въпроси относно визията на вашата конфигурация моля свържете се екипа ни.
rgb ефектите на вентилаторите и осветлението се управляват с бутон на предния панел и/или чрез софтуер при синхронизация с дънната платка. компоненти с rgb, като ram памети, се контролират чрез софтуера на производителя или на дънната платка (msi center, asus armoury crate и др.)

 

стандартният срок за изработка и доставка - 7 до 12 работни дни
(след потвърждение на поръчката от клиента, освен ако не е посочен друг срок или при форсмажорни обстоятелства).
запазваме си правото да удължим срока при сезонни промоции, като клиентите ще бъдат предварително уведомен.
имате въпроси или нужда от съвет при избор на допълнителни компоненти? свържете се с екипа на g:rigs на нашия телефон или ни пишете.
02 490 1111
grigs@desktop.bg

 

гаранция и тестове
всички g:rigs конфигурации се предлагат с 36 месеца гаранция. за компоненти в конфигурацията с по-дълъг гаранционен срок се прилага удължената гаранция, предоставена от производителя.
всяка конфигурация се настройва и тества индивидуално, включително с актуализация до последна стабилна версия на bios за дънната платка. охлаждането и управлението на вентилаторите се конфигурират според избрания хардуер с цел постигане на максимално тиха и ефективна работа във всички режими.
преди изпращане към клиента, всяка g:rigs конфигурация преминава през специално подбрани тестове с различни натоварвания за проверка на всички компоненти в системата.
цената на асемблирането и настройката е съобразена със сложността на вашата g:rigs конфигурация и е калкулирана в цената ѝ. 

 

важно: g:rigs конфигурациите не се поддържат на склад в готов за изпращане вид.
поради специфичния характер на g:rigs конфигурациите, включително възможността за избор на допълнителни и/или заместващи компоненти в конфигуратора, те се сглобяват и тестват след получаване на поръчка с избраните от клиента елементи. всяка конфигурация, независимо от избора на допълнителни или заместващи компоненти, представлява продукт, изработен по индивидуална клиентска спецификация и желание.
конфигураторът има за цел единствено да подпомогне процеса на избор на потребителя и не следва да се тълкува като стандартен, наличен или предварително изготвен от търговеца продукт, нито да ограничава индивидуалния избор и решение на клиента.
g:rigs компютрите и конфигурациите не се произвеждат предварително, а се изработват, тестват и доставят в определения срок след получаване и потвърждение на индивидуалната поръчка. всяка поръчка е съобразена с индивидуалните предпочитания и специфични изисквания на клиента.
поради това, за всички g:rigs конфигурации не се прилага правото на отказ съгласно чл. 57, т. 3 от закона за защита на потребителите, поради тяхната изработка по поръчка и съобразно индивидуалните изисквания на клиента.
виж още","без персонализация
+0€/ +0лв.
 персонална табела с име или nickname - до 8 символа
виж продукта
+30 €/+58.68 лв.",550 мм,"msi b760 gaming plus wifi
+0€/ +0лв.
 asrock b760 pro rs
виж продукта
-7 €/-13.69 лв.
 промо asus tuf gaming b760-plus wifi
виж продукта
+20 €/+39.12 лв.
пцд: 45€ (-55%)
 промо msi mag b760 tomahawk wifi
виж продукта
+46 €/+89.97 лв.
пцд: 75€ (-38%)
 msi z790 gaming plus wifi
виж продукта
+75 €/+146.69 лв.
 msi mag z790 tomahawk wifi
виж продукта
+96 €/+187.76 лв.","super flower leadex iii ge 750w atx 3.1
+0€/ +0лв.
 промо deepcool pn850m atx 3.1
виж продукта
-7 €/-13.69 лв.
пцд: 6€ (-216%)
 thermalright tg-1000 atx 3.0
виж продукта
+5 €/+9.78 лв.
 msi mag a850gl atx 3.0 pcie5
виж продукта
+24 €/+46.94 лв.
 asrock sl-850g atx 3.1
виж продукта
+41 €/+80.19 лв.
 seasonic focus gx-850 v4 atx 3.1
виж продукта
+56 €/+109.53 лв.
 msi mpg a1000g pcie5
виж продукта
+64 €/+125.17 лв.
 промо msi mag a1250gl pcie5 atx 3.1
виж продукта
+67 €/+131.04 лв.
пцд: 97€ (-30%)
 seasonic focus gx-1000 v4 atx 3.1
виж продукта
+88 €/+172.11 лв.
 be quiet! power zone 2 1000w atx 3.1
виж продукта
+97 €/+189.72 лв.
 seasonic prime tx-1300 atx 3.0
виж продукта
+327 €/+639.56 лв.
 asrock tc-1300t atx 3.1
виж продукта
+363 €/+709.97 лв.","комплект custom/плетени кабели с черна оплетка
+0€/ +0лв.
 промо 1stplayer комплект удължителни кабели custom modding cable kit dark black
виж продукта
0 €/0.00 лв.
пцд: 3€ (-100%)",lian li o11 vision compact black,nebula,"32gb (2x16gb) ddr5 6000 mt/s kingston fury beast black rgb expo
+0€/ +0лв.
 32gb (2x16gb) ddr5 6000 mt/s kingston fury beast black rgb expo
+91 €/+177.98 лв.
 64gb (2x32gb) ddr5 6000 mt/s kingston fury beast rgb expo
+495 €/+968.14 лв.
 96gb (2x48gb) ddr5 6000 mt/s kingston fury renegade black/silver
виж продукта
+942 €/+1842.40 лв.","с предварително инсталирана операционна система (неактивирана) + инсталирани драйвери и ъпдейти
+0€/ +0лв.
 microsoft windows home 11 oem english 64-битов
виж продукта
+139 €/+271.86 лв.
 microsoft windows pro 11 oem english 64-битов
виж продукта
+165 €/+322.71 лв.","deepcool le360 v2
+0€/ +0лв.
 промо deepcool ld240
виж продукта
+10 €/+19.56 лв.
пцд: 18€ (-44%)
 промо asus prime lc 240 argb
виж продукта
+14 €/+27.38 лв.
пцд: 53€ (-73%)
 промо deepcool ls520 black argb
виж продукта
+20 €/+39.12 лв.
пцд: 40€ (-50%)
 deepcool ls520 se black argb
виж продукта
+20 €/+39.12 лв.
 промо asus prime lc 360 argb
виж продукта
+24 €/+46.94 лв.
пцд: 67€ (-64%)
 промо deepcool mystique 240
виж продукта
+24 €/+46.94 лв.
пцд: 80€ (-70%)
 промо deepcool ld360
виж продукта
+30 €/+58.68 лв.
пцд: 47€ (-36%)
 промо deepcool lp240
виж продукта
+30 €/+58.68 лв.
пцд: 59€ (-49%)
 deepcool lt240 argb
виж продукта
+37 €/+72.37 лв.
 промо deepcool lq240
виж продукта
+40 €/+78.23 лв.
пцд: 68€ (-41%)
 msi mag coreliquid e240
виж продукта
+42 €/+82.15 лв.
 промо arctic liquid freezer iii pro 360 a-rgb
виж продукта
+44 €/+86.06 лв.
пцд: 56€ (-21%)
 gigabyte gaming 360
виж продукта
+47 €/+91.92 лв.
 промо valkyrie syn 240 argb
виж продукта
+54 €/+105.62 лв.
пцд: 159€ (-66%)
 промо deepcool lq360
виж продукта
+64 €/+125.17 лв.
пцд: 81€ (-20%)
 промо nzxt kraken 240 rgb black
виж продукта
+74 €/+144.73 лв.
пцд: 104€ (-28%)
 промо deepcool mystique 360 argb
виж продукта
+84 €/+164.29 лв.
пцд: 97€ (-13%)
 thermaltake th360 v2 ultra ex argb sync black
виж продукта
+114 €/+222.97 лв.","intel core i5-14600kf (14 ядра / 20 нишки, 3.50 - 5.30 ghz, 24 mb intel smart cache, socket lga 1700)
+0€/ +0лв.
 промо intel core i7-14700kf
виж продукта
+120 €/+234.70 лв.
пцд: 146€ (-17%)
 intel core i7-14700k
виж продукта
+201 €/+393.12 лв.",стандартна за избрания модел дънна платка,"без допълнителен диск
+0€/ +0лв.
 2tb 7200rpm seagate barracuda
виж продукта
+122 €/+238.61 лв.
 4tb 5400rpm seagate skyhawk
виж продукта
+161 €/+314.89 лв.","g:rigs high performance thermal compound
+0€/ +0лв.
 промо noctua nt-h2 thermal compound 3.5g
виж продукта
+12 €/+23.47 лв.
пцд: 17€ (-29%)
 thermal grizzly phasesheet ptm 50 x 40 мм
+13 €/+25.43 лв.
 thermal grizzly kryonaut extreme 2g
виж продукта
+24 €/+46.94 лв.",черен,385 мм
,BGN,,лв1428.00,"1tb kingston nv3
+0€/ +0лв.
 2tb kingston nv3
виж продукта
+146 €/+285.55 лв.",Desktop.bg,BGN,DesktopScraper,G:RIGS POLARIS Lite (Intel),https://desktop.bg/grigs-polaris-grigs_polaris_lite_intel,,,,,,,"asrock amd radeon rx 7600 challenger oc
+0€/ +0лв.
 asrock amd radeon rx 7600 steel legend oc
-57 €/-111.48 лв.
 msi geforce rtx 5060 8g shadow 2x oc
-47 €/-91.92 лв.
 asrock amd radeon rx 9060 xt challenger 8gb oc
-6 €/-11.74 лв.",557 мм,36 месеца гаранция,"стандартен брой
+0€/ +0лв.
 thermalright tl-c12c-s
+6 €/+11.74 лв.
 промо raijintek ageras 12 argb-1
виж продукта
+7 €/+13.69 лв.
пцд: 9€ (-22%)
 промо deepcool fc120 argb
виж продукта
+11 €/+21.51 лв.
пцд: 20€ (-44%)
 промо raijintek ageras 12 argb кит от 2 бр.
виж продукта
+15 €/+29.34 лв.
пцд: 21€ (-28%)
 промо deepcool fc120 3 in 1 argb
виж продукта
+35 €/+68.45 лв.
пцд: 47€ (-25%)","g:rigs polaris се изработва със стандартно включени допълнителни елементи:

комплект от 3 висококачествени argb вентилатора - 140mm + 120mm за оптимално охлаждане и впечатляваща визия.

дисплей, показващ основни данни за конфигурацията, вграден в страничния в панел на кутията.

 комплект custom/плетени захранващи кабели с индивидуална оплетка .
допълнителна argb led лента, осигуряваща ефектно осветление на вашата g:rigs конфигурация

 

снимките в галерията са илюстративни и е възможно финалния вид на вашата конфигурация да се различава
тези промени могат да настъпят в зависимост от избраните от вас компоненти. промени могат да настъпят и при актуализации на компонентите в g:rigs конфигурацията. ако имате въпроси относно визията на вашата конфигурация моля свържете се екипа ни.
rgb ефектите на вентилаторите и осветлението се управляват с бутон на предния панел и/или чрез софтуер при синхронизация с дънната платка. компоненти с rgb, като ram памети, се контролират чрез софтуера на производителя или на дънната платка (msi center, asus armoury crate и др.)

 

стандартният срок за изработка и доставка - 7 до 12 работни дни
(след потвърждение на поръчката от клиента, освен ако не е посочен друг срок или при форсмажорни обстоятелства).
запазваме си правото да удължим срока при сезонни промоции, като клиентите ще бъдат предварително уведомен.
имате въпроси или нужда от съвет при избор на допълнителни компоненти? свържете се с екипа на g:rigs на нашия телефон или ни пишете.
02 490 1111
grigs@desktop.bg

 

гаранция и тестове
всички g:rigs конфигурации се предлагат с 36 месеца гаранция. за компоненти в конфигурацията с по-дълъг гаранционен срок се прилага удължената гаранция, предоставена от производителя.
всяка конфигурация се настройва и тества индивидуално, включително с актуализация до последна стабилна версия на bios за дънната платка. охлаждането и управлението на вентилаторите се конфигурират според избрания хардуер с цел постигане на максимално тиха и ефективна работа във всички режими.
преди изпращане към клиента, всяка g:rigs конфигурация преминава през специално подбрани тестове с различни натоварвания за проверка на всички компоненти в системата.
цената на асемблирането и настройката е съобразена със сложността на вашата g:rigs конфигурация и е калкулирана в цената ѝ. 

 

важно: g:rigs конфигурациите не се поддържат на склад в готов за изпращане вид.
поради специфичния характер на g:rigs конфигурациите, включително възможността за избор на допълнителни и/или заместващи компоненти в конфигуратора, те се сглобяват и тестват след получаване на поръчка с избраните от клиента елементи. всяка конфигурация, независимо от избора на допълнителни или заместващи компоненти, представлява продукт, изработен по индивидуална клиентска спецификация и желание.
конфигураторът има за цел единствено да подпомогне процеса на избор на потребителя и не следва да се тълкува като стандартен, наличен или предварително изготвен от търговеца продукт, нито да ограничава индивидуалния избор и решение на клиента.
g:rigs компютрите и конфигурациите не се произвеждат предварително, а се изработват, тестват и доставят в определения срок след получаване и потвърждение на индивидуалната поръчка. всяка поръчка е съобразена с индивидуалните предпочитания и специфични изисквания на клиента.
поради това, за всички g:rigs конфигурации не се прилага правото на отказ съгласно чл. 57, т. 3 от закона за защита на потребителите, поради тяхната изработка по поръчка и съобразно индивидуалните изисквания на клиента.
виж още","без персонализация
+0€/ +0лв.
 персонална табела с име или nickname - до 8 символа
виж продукта
+30 €/+58.68 лв.",468 мм,asrock b760m pro rs,"msi mag a650bnl
+0€/ +0лв.
 промо deepcool pk750d 750w bronze
виж продукта
+13 €/+25.43 лв.
пцд: 17€ (-23%)",комплект custom/плетени кабели с червена оплетка,deepcool ch360 digital,polaris,16gb (2x8gb) ddr5 6000mt/s kingston fury beast,"с предварително инсталирана операционна система (неактивирана) + инсталирани драйвери и ъпдейти
+0€/ +0лв.
 microsoft windows home 11 oem english 64-битов
виж продукта
+139 €/+271.86 лв.
 microsoft windows pro 11 oem english 64-битов
виж продукта
+165 €/+322.71 лв.",deepcool ag400 bk argb v2,intel core i5-14400f,"стандартна за избрания модел дънна платка
+0€/ +0лв.
 orico bta-53
виж продукта
+9 €/+17.60 лв.
 tp-link ub500
виж продукта
+12 €/+23.47 лв.
 tp-link 300mbps mini wireless n usb adapter
виж продукта
+12 €/+23.47 лв.
 tp-link wireless n usb adapter
виж продукта
+18 €/+35.21 лв.",без допълнителен диск,g:rigs high performance thermal compound,черен,285 мм
4.90 GHz,BGN,1,лв402.90,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-bx8071514600k-361380,36 месеца гаранция,L3: 20 MB,16,3.60 GHz,LGA1700,10,,,,,,,,,,,,,,,,,,,,,
4.60 GHz,BGN,1,лв342.27,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400F (1.8GHz) - BX8071513400F,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-bx8071513500-307230,36 месеца гаранция,L3: 20 MB,16,1.80 GHz,LGA1700,10,,,,,,,,,,,,,,,,,,,,,
4.60 GHz,BGN,1,лв647.38,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400 (1.8GHz) TRAY - CM8071505093004,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-bx8071514400f-380862,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,1.80 GHz,LGA1700,10,,,,,,,,,,,,,,,,,,,,,
5.30 GHz,BGN,1,лв547.63,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14600KF (3.5GHz) TRAY - CM8071504821014,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14,,,,,,,,,,,,,,,,,,,,,
4.90 GHz,BGN,1,лв348.14,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-tray-cm8071504821014-462230,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,3.60 GHz,LGA1700,10,,,,,,,,,,,,,,,,,,,,,
5.00 GHz,BGN,1,лв690.41,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,2.60 GHz,LGA1700,14,,,,,,,,,,,,,,,,,,,,,
5.00 GHz,BGN,1,лв690.41,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-tray-cm8071505093104-510302,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,2.60 GHz,LGA1700,14,,,,,,,,,,,,,,,,,,,,,
