currency,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url
BGN,BGN,6227.0,1,лв6227.00,Allstore.bg,BGN,AllStoreScraper,"Дънна платка BIOSTAR H81MHV3, Intel H81, sock. 1150, Ver 7.3",https://allstore.bg/product/613558/danna-platka-biostar-h81mhv3-intel-h81-sock-1150-ver-7-3.html
BGN,BGN,6227.0,1,лв6227.00,Allstore.bg,BGN,AllStoreScraper,"Дънна платка BIOSTAR H81MHV3, Intel H81, sock. 1150, Ver 7.3",https://allstore.bg/product/623424/intel-core-i5-12400f-2-5ghz-lga1700-18m-cache-boxed-cpu-non-k.html
BGN,BGN,6227.0,1,лв6227.00,Allstore.bg,BGN,AllStoreScraper,"Дънна платка BIOSTAR H81MHV3, Intel H81, sock. 1150, Ver 7.3",https://allstore.bg/product/624482/intel-core-i5-12400-2-5ghz-lga1700-18m-cache-tray-cpu.html
BGN,BGN,15490.0,1,лв15490.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-13400F TRAY, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W",https://allstore.bg/product/616049/protsesor-intel-alder-lake-core-i5-12400f-6-cores-2-50-ghz-18mb-lga1700-65w-box.html
BGN,BGN,15490.0,1,лв15490.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-13400F TRAY, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W",https://allstore.bg/product/623931/renoviran-prenosim-kompyutar-fujitsu-lifebook-u729-12-5-1920-x-1080-ips-intel-core-i5-8365u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,15490.0,1,лв15490.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-13400F TRAY, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W",https://allstore.bg/product/613749/protsesor-intel-raptor-lake-core-i5-13400f-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
BGN,BGN,16067.0,1,лв16067.00,Allstore.bg,BGN,AllStoreScraper,INTEL Core i5-13400F 2.5Ghz FC-LGA16A 20M Cache Boxed CPU,https://allstore.bg/product/612771/intel-core-i5-13400f-2-5ghz-fc-lga16a-20m-cache-boxed-cpu.html
BGN,BGN,17981.0,1,лв17981.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-14400F, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W, BOX",https://allstore.bg/product/623632/protsesor-intel-raptor-lake-core-i5-14400f-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
BGN,BGN,17981.0,1,лв17981.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-14400F, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W, BOX",https://allstore.bg/product/613709/protsesor-intel-raptor-lake-core-i5-14400f-6p-4e-cores-2-50-ghz-20mb-lga1700-65w-box.html
BGN,BGN,20032.0,1,лв20032.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Comet Lake-S Core I5-10400, 6 cores, 2.9Ghz, 12MB, 65W, LGA1200, BOX",https://allstore.bg/product/613677/protsesor-intel-comet-lake-s-core-i5-10400-6-cores-2-9ghz-12mb-65w-lga1200-box.html
BGN,BGN,21312.0,1,лв21312.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Lenovo ThinkPad L480, 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/623407/intel-core-i5-14600kf-3-5ghz-lga1700-24mb-cache-tray-cpu.html
BGN,BGN,21312.0,1,лв21312.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Lenovo ThinkPad L480, 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/618283/renoviran-laptop-lenovo-thinkpad-l480-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,21312.0,1,лв21312.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър Fujitsu Lifebook E756 15.6``, 1366 x 768, TN, Intel Core i5‑6200U (6-то поколение), 8 GB DDR4, 256 GB , клас А",https://allstore.bg/product/615740/renoviran-prenosim-kompyutar-fujitsu-lifebook-e756-15-6-1366-x-768-tn-intel-core-i5-6200u-6-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,21930.0,1,лв21930.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Alder Lake Core i5-12400, 6 Cores, 2.5GHz, 18MB, LGA1700, 65W, BOX",https://allstore.bg/product/613730/protsesor-intel-raptor-lake-i5-13600kf-14-cores-3-5-ghz-24mb-125w-lga1700-tray-no-graphics.html
BGN,BGN,21930.0,1,лв21930.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Alder Lake Core i5-12400, 6 Cores, 2.5GHz, 18MB, LGA1700, 65W, BOX",https://allstore.bg/product/615658/protsesor-intel-alder-lake-core-i5-12400-6-cores-2-5ghz-18mb-lga1700-65w-box.html
BGN,BGN,22130.0,1,лв22130.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Alder Lake Core i5-12600K, 10 Cores, 3.7GHz, 20MB, LGA1700, 125W, BOX",https://allstore.bg/product/615659/protsesor-intel-alder-lake-core-i5-12600k-10-cores-3-7ghz-20mb-lga1700-125w-box.html
