converted_price,currency,original_currency,original_price,page,price,source,source_currency,source_scraper,target_currency,title,url
259.6608,EUR,EUR,132.48,1,лв259.66,Allstore.bg,EUR,AllStoreScraper,BGN,INTEL Core i5-12400F 2.5GHz LGA1700 18M Cache Boxed CPU NON-K,https://allstore.bg/product/613558/danna-platka-biostar-h81mhv3-intel-h81-sock-1150-ver-7-3.html
299.1744,EUR,EUR,152.64,1,лв299.17,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър Fujitsu LifeBook U729 12.5``, 1920 x 1080, IPS, Intel Core i5‑8365U (8-мо поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/616049/protsesor-intel-alder-lake-core-i5-12400f-6-cores-2-50-ghz-18mb-lga1700-65w-box.html
299.1744,EUR,EUR,152.64,1,лв299.17,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър Fujitsu LifeBook U729 12.5``, 1920 x 1080, IPS, Intel Core i5‑8365U (8-мо поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/623931/renoviran-prenosim-kompyutar-fujitsu-lifebook-u729-12-5-1920-x-1080-ips-intel-core-i5-8365u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
299.1744,EUR,EUR,152.64,1,лв299.17,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър Fujitsu LifeBook U729 12.5``, 1920 x 1080, IPS, Intel Core i5‑8365U (8-мо поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/613749/protsesor-intel-raptor-lake-core-i5-13400f-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
314.91319999999996,EUR,EUR,160.67,1,лв314.91,Allstore.bg,EUR,AllStoreScraper,BGN,INTEL Core i5-13400F 2.5Ghz FC-LGA16A 20M Cache Boxed CPU,https://allstore.bg/product/612771/intel-core-i5-13400f-2-5ghz-fc-lga16a-20m-cache-boxed-cpu.html
316.50079999999997,EUR,EUR,161.48,1,лв316.50,Allstore.bg,EUR,AllStoreScraper,BGN,INTEL Core i5-14400F 2.5GHz LGA1700 20M Cache Tray CPU,https://allstore.bg/product/623426/intel-core-i5-14400f-2-5ghz-lga1700-20m-cache-tray-cpu.html
326.0264,EUR,EUR,166.34,1,лв326.03,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Rocket Lake Core i5-11400, 6 Cores, 2.60Ghz (Up to 4.40Ghz), 12MB, 65W, LGA1200, TRAY",https://allstore.bg/product/613683/protsesor-intel-rocket-lake-core-i5-11400-6-cores-2-60ghz-up-to-4-40ghz-12mb-65w-lga1200-tray.html
352.4276,EUR,EUR,179.81,1,лв352.43,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-14400F, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W, BOX",https://allstore.bg/product/613709/protsesor-intel-raptor-lake-core-i5-14400f-6p-4e-cores-2-50-ghz-20mb-lga1700-65w-box.html
417.7152,EUR,EUR,213.12,1,лв417.72,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран лаптоп Lenovo ThinkPad L480, 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/623407/intel-core-i5-14600kf-3-5ghz-lga1700-24mb-cache-tray-cpu.html
417.7152,EUR,EUR,213.12,1,лв417.72,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран лаптоп Lenovo ThinkPad L480, 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/618283/renoviran-laptop-lenovo-thinkpad-l480-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
429.82800000000003,EUR,EUR,219.3,1,лв429.83,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Alder Lake Core i5-12400, 6 Cores, 2.5GHz, 18MB, LGA1700, 65W, BOX",https://allstore.bg/product/613730/protsesor-intel-raptor-lake-i5-13600kf-14-cores-3-5-ghz-24mb-125w-lga1700-tray-no-graphics.html
429.82800000000003,EUR,EUR,219.3,1,лв429.83,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Alder Lake Core i5-12400, 6 Cores, 2.5GHz, 18MB, LGA1700, 65W, BOX",https://allstore.bg/product/615658/protsesor-intel-alder-lake-core-i5-12400-6-cores-2-5ghz-18mb-lga1700-65w-box.html
433.748,EUR,EUR,221.3,1,лв433.75,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Alder Lake Core i5-12600K, 10 Cores, 3.7GHz, 20MB, LGA1700, 125W, BOX",https://allstore.bg/product/615659/protsesor-intel-alder-lake-core-i5-12600k-10-cores-3-7ghz-20mb-lga1700-125w-box.html
460.7176,EUR,EUR,235.06,1,лв460.72,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-13600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, NO COOLER",https://allstore.bg/product/623890/protsesor-intel-core-i5-12400-2-5g-18mb-box-1700.html
460.7176,EUR,EUR,235.06,1,лв460.72,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-13600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, NO COOLER",https://allstore.bg/product/613688/protsesor-intel-alder-lake-core-i5-12500-6-cores-3-00-ghz-18mb-lga1700-65w-box.html
460.7176,EUR,EUR,235.06,1,лв460.72,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-13600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, NO COOLER",https://allstore.bg/product/613738/protsesor-intel-raptor-lake-core-i5-13600k-tray-14-cores-3-5-ghz-24mb-125w-lga1700-no-cooler.html
476.1428,EUR,EUR,242.93,1,лв476.14,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър HP ProBook 440 G6 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/622414/renoviran-prenosim-kompyutar-hp-probook-440-g6-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
502.25,EUR,EUR,256.25,1,лв502.25,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake i5-14600KF TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700",https://allstore.bg/product/623053/protsesor-intel-raptor-lake-i5-14600kf-tray-14-cores-3-5-ghz-24mb-125w-lga1700.html
533.708,EUR,EUR,272.3,1,лв533.71,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър HP ProBook 440 G6 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A",https://allstore.bg/product/622495/renoviran-prenosim-kompyutar-hp-probook-440-g6-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
546.4676,EUR,EUR,278.81,1,лв546.47,Allstore.bg,EUR,AllStoreScraper,BGN,"Intel CPU Desktop Core i5-14500 (up to 5.00 GHz, 24M Cache, LGA1700) box",https://allstore.bg/product/615070/intel-cpu-desktop-core-i5-14500-up-to-5-00-ghz-24m-cache-lga1700-box.html
