brand,cache size,colour,converted_price,cpu manufacturer,cpu model,cpu socket,cpu speed,currency,graphics card description,hard disk size,model name,operating system,original_currency,original_price,page,price,processor core count,processor count,processor number of concurrent threads,ram memory installed size,screen size,secondary cache,source,source_currency,source_scraper,special feature,target_currency,title,url,wattage
intel,29.5 mb,,439.4364,intel,core i5,lga 1700,4.9,GBP,,,,,GBP,198.84,1,лв439.44,,1,20,,,20 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel Core i5-12600K Desktop Processor 10 (6P+4E) Cores up to 4.9 GHz Unlocked LGA1700 600 Series Chipset 125W,https://www.amazon.co.uk/Intel-i5-12600K-Desktop-Processor-Unlocked/dp/B09FX4D72T/,125 watts
intel,12,,359.2134,intel,core i5,lga 1200,3.9,GBP,,,,,GBP,162.54,1,лв359.21,,6,12,,,12 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ i5-11600KF Desktop Processor 6 Cores up to 4.9 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,https://www.amazon.co.uk/Intel-i5-11600KF-Desktop-Processor-Unlocked/dp/B08X62BTJD/,125 watts
intel,20 mb,,356.4288,intel,intel core ultra 5,lga1851,3.30,GBP,,,,,GBP,161.28,1,лв356.43,10,1,10,,,,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,"Intel® Core™ Ultra 5 Desktop Processor 225F, 10 cores (6 P-cores + 4 E-cores) up to 4.9 GHz",https://www.amazon.co.uk/Intel%C2%AE-CoreTM-Desktop-Processor-P-cores/dp/B0DTRMDXJ5/,50 watts
intel,26 mb,,0.0,intel,intel core ultra 5,lga1851,5.2 ghz,GBP,,,,,GBP,0.0,1,лв0.00,,14,14,,,24 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ Ultra 5 Desktop Processor 245KF 14 cores (6 P-cores + 8 E-cores) up to 5.2 GHz,https://www.amazon.co.uk/Ultra-Desktop-Processor-245KF-P-cores/dp/B0DFK8HHK4/,125 watts
intel,24,,771.4889,intel,core i5,lga 1700,5 ghz,GBP,,,,,GBP,349.09,1,лв771.49,,1,20,,,24 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ i5-14500 Desktop Processor 14 cores (6 P-cores + 8 E-cores) up to 5.0 GHz,https://www.amazon.co.uk/Intel%C2%AE-i5-14500-Desktop-Processor-P-cores/dp/B0CQ2XT4RT/,65 watts
intel,12,,0.0,intel,core i5,lga 1200,2.6,GBP,,,,,GBP,0.0,1,лв0.00,,1,12,,,12 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel CPU/Core i5-11400F 2.60GHZ LGA1200 Tray,https://www.amazon.co.uk/Intel-Core-i5-11400F-2-60GHZ-LGA1200/dp/B093Z4DCHQ/,65 watts
intel,1,,0.0,intel,core i5-13600kf,lga 1700,4.6 ghz,GBP,,,,,GBP,0.0,1,лв0.00,1,1,8,,,,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel S1700 CORE i5 13400F TRAY GEN13,https://www.amazon.co.uk/Intel-S1700-CORE-13400F-GEN13/dp/B0BXH1FTFT/,65 watts
intel,9,,0.0,intel,core i5-9400f,lga 1151,2.9 ghz,GBP,,,,,GBP,0.0,1,лв0.00,,6,6,,,9 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel Core i5 9400F - 2.9 GHz - 6-core - 6 threads - 9 MB cache - LGA1151 Socket - Box,https://www.amazon.co.uk/Intel-BX80684I59400F-I5-9400F-2-90GHZ-SKT1151/dp/B07MRCGQQ4/,65
intel,12 mb,,355.9426,intel,core i5-1035g7,lga 1200,4.3 ghz,GBP,,,,,GBP,161.06,1,лв355.94,,6,12,,,12,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel CoreTM i5-10400F,https://www.amazon.co.uk/i5-10400F-Desktop-Processor-Without-Graphics/dp/B086MHSTWN/,65 watts
intel,18 mb,,0.0,intel,core i5,lga 1700,3,GBP,,,,,GBP,0.0,1,лв0.00,,6,6,,,18 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel Core i5 (12th Gen) i5-12500 3 GHz Processor - Retail Pack,https://www.amazon.co.uk/Intel-Core-12th-i5-12500-Processor/dp/B09MSJ29RP/,65 watts
intel,36 mb,,0.0,intel,intel core ultra 7,lga1851,5.4 ghz,GBP,,,,,GBP,0.0,1,лв0.00,,20,20,,,30 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ Ultra 7 Desktop Processor 265K 20 cores (8 P-cores + 12 E-cores) up to 5.5 GHz,https://www.amazon.co.uk/Ultra-Desktop-Processor-265K-P-cores/dp/B0DFK2MH2D/,125 watts
dell,,silver,0.0,,core i5 family,,,GBP,integrated,512 gb,latitude 5420,windows 11 pro,GBP,0.0,1,лв0.00,,,,16 gb,14 inches,,Amazon.co.uk,GBP,AmazonCoUkScraper,turbo boost technology,BGN,"Dell Latitude 5420 Business Laptop, Intel Core i5-1135G7, 16GB RAM, 512 GB SSD, 14-Inch FHD (1920x1080), UK Keyboard, QWERTY, Windows 11 Pro - Black (Renewed)",https://www.amazon.co.uk/Dell-Latitude-Business-i5-1135G7-1920x1080/dp/B0DXQ3B835/,
intel,20,,439.4364,intel,core i5,socket 1700,4.7 ghz,GBP,,,,,GBP,198.84,1,лв439.44,10,1,16,,,20 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ i5-14400F Desktop Processor 10 cores (6 P-cores + 4 E-cores) up to 4.7 GHz,https://www.amazon.co.uk/Intel%C2%AE-i5-14400F-Desktop-Processor-P-cores/dp/B0CQ3142LB/,
intel,20,,356.4288,intel,core i5,lga 1700,3.7 ghz,GBP,,,,,GBP,161.28,1,лв356.43,,1,16,,,20 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ i5-12600KF Desktop Processor 10 (6P+4E) Cores up to 4.9 GHz Unlocked LGA1700 600 Series Chipset 125W,https://www.amazon.co.uk/Intel-Core-i5-12600KF-Cache-4-90/dp/B09GYKK56H/,125 watts
intel,20,,464.58619999999996,intel,core i5,lga 1700,3.7 ghz,GBP,,,,,GBP,210.22,1,лв464.59,,1,12,,,30 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ i5-12600K Desktop Processor 10 (6P+4E) Cores up to 4.9 GHz Unlocked LGA1700 600 Series Chipset 125W,https://www.amazon.co.uk/Intel-i5-12600K-Generation-Desktop-Processor/dp/B09GYHXDHH/,125 watts
intel,20 mb,,439.4364,intel,intel core i5,lga 1700,5.3 ghz,GBP,,,,,GBP,198.84,1,лв439.44,,14,28,,,24 mb,Amazon.co.uk,GBP,AmazonCoUkScraper,,BGN,Intel® Core™ i5-14600K Desktop Processor 14 cores (6 P-cores + 8 E-cores) up to 5.3 GHz,https://www.amazon.co.uk/Intel%C2%AE-i5-14600K-Desktop-Processor-P-cores/dp/B0CHBGVFHP/,125 watts
