anzahl der gleichzeitigen threads des prozessors,anzahl der prozessorkerne,beschreibung der grafikkarte,besonderes merkmal,betriebssystem,cache-größe,converted_price,cpu-hersteller,cpu-modell,cpu-sockel,cpu-taktfrequenz,currency,farbe,festplattengröße,grafik-coprozessor,größe des installierten ram-speichers,hersteller,marke,maximale größe des arbeitsspeichers,modellname,original_currency,original_price,page,price,prozessorzahl,ram-speichertechnologie,sekundärer cache,source,source_currency,source_scraper,target_currency,title,url,wattzahl
20,,,,,"9,5 mb",557.3847999999999,intel,core i5,pga lga1700,"4,7 ghz",EUR,,,,,,intel,,,EUR,284.38,1,лв557.38,10,,20 mb,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel Core i5-14400 Desktop-Prozessor 10 Kerne (6 P-Kerne + 4 E-Kerne) bis zu 4,7 GHz",https://www.amazon.de/Intel-i5-14400-Desktop-Prozessor-P-Kerne-Kerne/dp/B0CQ1M1YXM/,65 watt
28,,,,,24 unbekannt,466.6368,intel,core i5,lga 1700,5 ghz,EUR,,,,,,intel,,,EUR,238.08,1,лв466.64,1,,24 mb,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel® Core™ i5 Desktop-Prozessor 14500 14 Kerne (6 P-cores und 8 E-cores) bis zu 5,0 GHz",https://www.amazon.de/Intel%C2%AE-CoreTM-Desktop-Prozessor-P-cores-cores/dp/B0CQ2XT4RT/,65 watt
12,,,,,18 mb,271.8128,intel kern i5,"core i5 2,8 ghz",lga 1700,"2,5 ghz",EUR,,,,,,intel,,,EUR,138.68,1,лв271.81,1,,18 mb,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel® Core™ i5-12400F 12. Generation Desktop Prozessor (Basistakt: 2.5GHz, 6 Kerne, LGA1700, RAM DDR4 und DDR5 bis zu 128GB)",https://www.amazon.de/Intel-Core-12400F-Desktop-Prozessor-Cache/dp/B09NPJRDGD/,65 watt
12,1,,,,20 unbekannt,27.7732,intel,core i5,lga 1700,"4,4 ghz",EUR,,,,,,intel,,,EUR,14.17,1,лв27.77,1,,,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel CPU/Core i5-12400F 4,40 GHz LGA1700 Tray",https://www.amazon.de/Intel-Core-i5-12400F-LGA1700-Tray/dp/B09WW1KKH8/,65 watt
28,,,,,20 mb,328.57439999999997,intel,core i5,lga 1700,"2,8 ghz",EUR,,,,,,intel,,,EUR,167.64,1,лв328.57,14,,24 mb,Allstore.bg,EUR,AmazonDeScraper,BGN,Intel® Core™ i5-14600K Desktop Processor 14 cores (6 P-cores + 8 E-cores) up to 5.3 GHz,https://www.amazon.de/Intel%C2%AE-i5-14600K-Desktop-Processor-P-cores/dp/B0CHBGVFHP/,125 watt
20,,,,,"9,5 mb",347.40999999999997,intel,core i5,lga 1700,"4,7 ghz",EUR,,,,,,intel,,,EUR,177.25,1,лв347.41,10,,20 mb,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel Core i5-14400F Desktop-Prozessor 10 Kerne (6 P-Kerne + 4 E-Kerne) bis zu 4,7 GHz",https://www.amazon.de/Intel-i5-14400F-Desktop-Prozessor-P-Kerne-Kerne/dp/B0CQ1Y7KHV/,148 watt
16,10,,,,20 mb,442.72479999999996,intel,core i5,lga 1700,"2,5 ghz",EUR,,,,,intel,intel,,,EUR,225.88,1,лв442.72,10,,,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel Core I5-13400F Processor 20 Mb Smart Cache, CM8071504821107",https://www.amazon.de/Intel-Core-I5-13400F-Processor-CM8071504821107/dp/B0FPGM87Y9/,
14,,,,,26 mb,334.0232,intel,intel core ultra 5,lga 1700,"5,2 ghz",EUR,,,,,,intel,,,EUR,170.42,1,лв334.02,14,,24 mb,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel® Core™ Ultra 5 Desktop-Prozessor 245KF 14 Kerne (6 P-cores + 8 E-cores) bis zu 5,2 GHz",https://www.amazon.de/Intel%C2%AE-Ultra-Desktop-Prozessor-245KF-P-cores/dp/B0DFK8HHK4/,125 watt
20,14,,,,24 unbekannt,554.0136,intel,core i5-13600k,lga 1700,"3,5 ghz",EUR,,,,,,intel,,,EUR,282.66,1,лв554.01,14,,,Allstore.bg,EUR,AmazonDeScraper,BGN,"Intel® Core™ i5 i5-13600K Prozessor 14 x 3,5 GHz (CPU) Tray Socket (PC) 1700",https://www.amazon.de/Intel-Core-i5-13600K-3-50-5-10GHz-tray/dp/B0BS98MM6K/,165 watt
,,intel iris xe graphic,"blendschutzbeschichtung, bluetooth® 5.1, full hd webcam, hdmi anschluss, numerisches tastenfeld, qwertz tastatur, thunderbolt™ 4, zwei eingebaute mikrofone, zwei eingebaute stereo-lautsprecher
blendschutzbeschichtung, bluetooth® 5.1, full hd webcam, hdmi anschluss, numerisches tastenfeld, qwertz ta… mehr anzeigen",windows 11 home,,1217.0816,,core i5,,"3,4 ghz",EUR,grau,512 gb,,16 gb,,acer,,a17-51m-503b,EUR,620.96,1,лв1217.08,,,,Allstore.bg,EUR,AmazonDeScraper,BGN,"acer Aspire 17 (A17-51M-503B) Laptop, 17"" FHD IPS Display, Intel Core i5-1334U, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11, QWERTZ Tastatur, grau",https://www.amazon.de/acer-NX-KZVEG-00C-Acer-A17-51M-503B/dp/B0BV6S7P86/,
