currency,ean:,max memory / bandwidth:,mpn:,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url,графично ядро / gpu:,кеш памет:,окомплектовка тип:,продуктова серия:,производител:,сокет:,тегло:,термална мощност / max tdp:,честота базова / макс.:,ядра физически / логически:
BGN,,"32 gb / ddr3-1333/1600, ddr3l-1333/1600 @ 1.5v / 25.6 gb/s",core i5-4590 tray,BGN,76.04,1,лв76.04,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-4590 Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-4590-tray-22550,intel® hd graphics 4600,6 mb intel® smart cache,tray,haswell / 4th generation intel® core™ i5 processors,intel,intel lga 1150,,84 w,3.30 / 3.70 ghz,4
BGN,,"64 gb / ddr4-2133/2400, ddr3l-1333/1600 @ 1.35v; 2 channels",core i5-7400 tray,BGN,161.94,1,лв161.94,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-7400 Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-7400-tray-25843,intel® hd graphics 630,6 mb intel® smart cache,tray,7th generation intel® core™ i5 / kaby lake,intel,intel lga 1151,,65 w,3.00 / 3.50 ghz,4
BGN,3807000006127,128 gb ddr4-2666 - 41.6 gb/s,inb70110400fsrh3d,BGN,162.18,1,лв162.18,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-10400F Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-10400f-tray-21992,,12 mb intel® smart cache,tray,"10th generation intel® core™ i5, comet lake",intel,intel lga 1200,,65 w,2.90 / 4.30 ghz,6 / 12
BGN,,,core i5-7500 tray,BGN,183.77,1,лв183.77,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-7500 Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-7500-tray-37854,intel® hd graphics 630,6 mb smartcache,tray,intel core i5,intel,intel lga 1151,,65 w,3.40 ghz / 3.80 ghz,4
BGN,3807000007988,128 gb ddr4-2666 - 41.6 gb/s,cm8070104290715,BGN,232.59,1,лв232.59,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-10400 Tray,https://cybertrade.bg/hardware/cpu/intel-i5-10400-tray-cm8070104290715-34950,intel® uhd graphics 630,12 mb intel® smart cache,tray,"10th generation intel® core™ i5, comet lake",intel,intel lga 1200,,65 w,2.90 / 4.30 ghz,6 / 12
BGN,5032037237758,128 gb ddr4-3200 / ddr5-4800 - 76.8 gb/s; 2 channels,bx8071512400f,BGN,257.23,1,лв257.23,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-12400F,https://cybertrade.bg/hardware/cpu/intel-core-i5-12400f-bx8071512400f-40216,,18 mb intel® smart cache,box с охладител,12th generation intel® core™ i5 / alder lake,intel,intel lga 1700,0.46 kg,65 / 117 w,2.50 / 4.40 ghz,6 / 12
BGN,3807000012142,128 gb ddr4-3200 / ddr5-4800 - 89.6 gb/s; 2 channels,cm8071505093005,BGN,301.59,1,лв301.59,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-13400F Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-13400f-tray-cm8071505093005-54712,,20 mb intel® smart cache,tray,13th generation intel® core™ i5 / raptor lake,intel,intel lga 1700,0.46 kg,65 / 148 w,2.50 / 4.60 ghz,10 / 16
BGN,5032037260299,128 gb ddr4-3200 / ddr5-4800 - 89.6 gb/s; 2 channels,bx8071513400f,BGN,312.62,1,лв312.62,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-13400F,https://cybertrade.bg/hardware/cpu/intel-core-i5-13400f-bx8071513400f-55394,,20 mb intel® smart cache,box с охладител,13th generation intel® core™ i5 / raptor lake,intel,intel lga 1700,0.46 kg,65 / 148 w,2.50 / 4.60 ghz,10 / 16
BGN,3807000007650,128 gb ddr4-3200 - 50 gb/s; 2 channels,cm8070804497015,BGN,315.91,1,лв315.91,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-11400 Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-11400-tray-cm8070804497015-34236,intel® uhd graphics 730,12 mb intel® smart cache,tray,11th generation intel® core™ i9 / rocket lake,intel,intel lga 1200,0.03 kg,65 w,2.60 / 4.40 ghz,6 / 12
BGN,4251538816861,192 gb ddr4-3200 / ddr5-4800 - 76.8 gb/s; 2 channels,cm8071505093011,BGN,318.72,1,лв318.72,Allstore.bg,BGN,CyberTradeScraper,Процесор Intel Core i5-14400F Tray,https://cybertrade.bg/hardware/cpu/intel-core-i5-14400f-tray-cm8071505093011-41224,,20 mb intel® smart cache,tray,intel® core™ i5 processors (14th gen) / raptor lake,intel,intel lga 1700,2.40 kg,65 / 148 w,2.5 / 4.7 ghz,10 / 16
