currency,original_currency,original_price,page,price,ram памет: 16 gb,ram памет: 24 gb,ram памет: 8 gb,source,source_currency,source_scraper,ssd: 1000 gb,ssd: 512 gb,storage интерфейси: sata 3gbit/s,"storage интерфейси: sata 6gbit/s, m.2",title,url,архитектура: 64,брой слотове за ram памет: 2,брой слотове за ram памет: 4,брой ядра: 10 ядрен,брой ядра: 6 ядрен,брой ядра: 8 ядрен,видео изход: dp hdmi,видео изход: hdmi vga (d-sub),видеокарта: вградена,видеокарта: да,гаранция: 12 месеца,гаранция: 24 месеца,гаранция: 36 месеца,"екран размер: 14"" (35.56 cm)","екран размер: 15.3"" (38.86 cm)","екран размер: 15.6"" (39.62 cm)","екран размер: 16"" (40.64 cm)",код на продукта: 83gu006ybm,код на продукта: 83hs003bbm,код на продукта: 83k0002rbm,код на продукта: 83k10091rm,код на продукта: 90mb1i50-m0eay0,код на продукта: bto004_qc24251_emea,код на продукта: bto007_qct1250_emea_ubu,код на продукта: bto009_qcs1250_emea,код на продукта: bto009_qcs1250_emea_ubu,код на продукта: bto010_qct1250_emea,код на продукта: bto010_qct1250_emea_ubu,код на продукта: bx8070110400,код на продукта: bx8070811400,код на продукта: bx8070811400tray,код на продукта: cm8070104290715,код на продукта: cm8071505093012,код на продукта: ecs1250_rpls-r_003,код на продукта: ecs1250_rpls-r_003_ubu,код на продукта: ect1250_rpls-r_004_ubu,код на продукта: f0hm007eri,код на продукта: h610mhc 2.0,код на продукта: h81mhv3,код на продукта: pb14250_i516g512g_ubu,код на продукта: pv15250_rplu_001_p,код на продукта: pv15250_rplu_001_p_ubu,код на продукта: pv15250_rplu_003_m,код на продукта: pv15250_rplu_003_m_ubu,код на продукта: pv15250_rplu_005_p,код на продукта: pv15250_rplu_005_p_ubu,марка: asus,марка: biostar,марка: dell,"марка: dell, dell pro 14 plus","марка: dell, dell pro 15 essential","марка: intel, intel core i5",марка: jar computers,марка: lenovo,"марка: lenovo, lenovo ideapad 3","марка: lenovo, lenovo ideapad slim 3","марка: lenovo, lenovo v",модел видеокарта: intel graphics,модел видеокарта: intel uhd graphics,модел видеокарта: intel uhd graphics 730,модел видеокарта: intel uhd graphics 770,модел: ausbildung i5-14400 1tb 16gb ddr5,модел: bx8070811400,модел: bx8070811400tray,модел: cm8070104290715,модел: core i5-14400 tray,модел: h610mhc 2.0,модел: h81mhv3,модел: i5-10400 box,модел: ideacentre aio 27irh9,модел: ideapad slim 3 15irh10 83k10091rm,модел: ideapad slim 5 16irh10 83hs003bbm,модел: prime z890-p,модел: pro 14 plus pb14250_i516g512g_ubu,модел: pro 15 essential pv15250 pv15250_rplu_001_p,модел: pro 15 essential pv15250 pv15250_rplu_001_p_ubu,модел: pro 15 essential pv15250 pv15250_rplu_003_m,модел: pro 15 essential pv15250 pv15250_rplu_003_m_ubu,модел: pro 15 essential pv15250 pv15250_rplu_005_p,модел: pro 15 essential pv15250 pv15250_rplu_005_p_ubu,модел: pro 24 all-in-one qc24251,модел: pro slim qcs1250 bto009_qcs1250_emea,модел: pro slim qcs1250 bto009_qcs1250_emea_ubu,модел: pro tower qct1250,модел: pro tower qct1250 bto007_qct1250_emea_ubu,модел: slim 3 14irh10 83k0002rbm,модел: slim ecs1250 ecs1250_rpls-r_003,модел: slim ecs1250 ecs1250_rpls-r_003_ubu,модел: tower ect1250 ect1250_rpls-r_004_ubu,модел: v14 g5 irl 83gu006ybm,поддържана памет: ddr3,поддържана памет: ddr4,поддържана памет: ddr5,поколение: intel gen 10,поколение: intel gen 11,поколение: intel gen 14,предназначение: home office,приложение: за бизнес,приложение: за дома,приложение: за работа / за дома,процесор сокет: lga 1150,процесор сокет: lga 1700,процесор сокет: lga 1851,процесор сокет: lga1200,процесор сокет: lga1700,процесор: десетядрен,процесор: четиринадесетядрен,серия процесор: intel core 5,серия процесор: intel core i5,серия процесор: intel core i7,серия: intel core i5,твърд диск: няма gb,термична мощност (tdp): 148 w,термична мощност (tdp): 65 w,тип: all in one pc,тип: business pc/workstation,тип: home/home office,форм фактор: atx,форм фактор: micro atx,честота процесор: 1700 mhz,честота процесор: 2100 mhz,честота процесор: 2500 mhz,честота процесор: 2600 mhz,чипсет: h610,чипсет: h81,чипсет: z890
BGN,BGN,504.64,1,лв504.64,,,,JarComputers.com,BGN,JarComputersScraper,,,,"SATA 6Gbit/s, M.2","Дънна платка Asus PRIME Z890-P, Z890, LGA1851, DDR5, PCI-E 5.0 (USB-C&DP&HDMI), 4x SATA 6Gb/s, 4x M.2 Slots, 1x USB 3.2 Gen 2x2 Type-C, 2.5GbE LAN, ATX",https://www.jarcomputers.com/asus-prime-z890-p-90mb1i50-m0eay0-prod-mbiasus90mb1i50m0eay0.html,,,4,,,,DP HDMI,,,,,,36 месеца,,,,,,,,,90MB1I50-M0EAY0,,,,,,,,,,,,,,,,,,,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,,PRIME Z890-P,,,,,,,,,,,,,,,,,,,,DDR5,,,,,,,,,,LGA 1851,,,,,,,,,,,,,,,ATX,,,,,,,,Z890
BGN,BGN,2131.28,1,лв2131.28,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Dell Pro 14 Plus PB14250(PB14250_I516G512G_UBU)(сребрист), десетядрен Intel Core 5 120U 1.4/5.0 GHz, 14""(35.56 cm) WUXGA IPS Anti-Glare Display, 16GB DDR5, 512GB SSD, 1x Thunderbolt 4, Linux",https://www.jarcomputers.com/dell-pro-14-plus-pb14250_i516g512g_ubu-prod-nbdellpb14250_i516g512g_ubu.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,"14"" (35.56 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,PB14250_I516G512G_UBU,,,,,,,,,,"Dell, Dell Pro 14 Plus",,,,,,,,,,,,,,,,,,,,,,,,Pro 14 Plus PB14250_I516G512G_UBU,,,,,,,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,Intel Core 5,,,,,,,,,,,,,,,,,,
BGN,BGN,121.02,1,лв121.02,,,,JarComputers.com,BGN,JarComputersScraper,,,,"SATA 6Gbit/s, M.2","Дънна платка Biostar H610MHC 2.0, H610, LGA1700, DDR4, PCI-E 4.0 (HDMI&VGA), 4x SATA 6Gb/s, 1x M.2, 2x USB 3.2 Gen 1 Type-A, Micro ATX",https://www.jarcomputers.com/biostar-h610mhc-20-prod-mbibiostarh610mhc20.html,,2,,,,,,HDMI VGA (D-Sub),,,,24 месеца,,,,,,,,,,,,,,,,,,,,,,,,,,H610MHC 2.0,,,,,,,,,,Biostar,,,,,,,,,,,,,,,,,,,H610MHC 2.0,,,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,,,,,,,,LGA 1700,,,,,,,,,,,,,,,,,Micro ATX,,,,,H610,,
BGN,BGN,127.78,1,лв127.78,,,,JarComputers.com,BGN,JarComputersScraper,,,SATA 3Gbit/s,,"Дънна платка BIOSTAR H81MHV3, H81, LGA1150, DDR3, PCI-E 3.0, 2x SATA 6Gb/s, 2x USB 3.0 Port, Micro ATX",https://www.jarcomputers.com/biostar-h81mhv3-prod-mbibiostarh81mhv3.html,,2,,,,,,HDMI VGA (D-Sub),,,,24 месеца,,,,,,,,,,,,,,,,,,,,,,,,,,,H81MHV3,,,,,,,,,Biostar,,,,,,,,,,,,,,,,,,,,H81MHV3,,,,,,,,,,,,,,,,,,,,,,,DDR3,,,,,,,,,,LGA 1150,,,,,,,,,,,,,,,,,,Micro ATX,,,,,,H81,
BGN,BGN,1564.62,1,лв1564.62,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Настолен компютър Dell Pro Slim (BTO009_QCS1250_EMEA_UBU), четиринадесетядрен Intel Core i5-14500 2.6/5.0GHz, 16GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 1 Type-C, клавиатура и мишка, Linux",https://www.jarcomputers.com/dell-pro-slim-qcs1250-bto009_qcs1250_emea_ubu-prod-pcdellbto009_qcs1250_emea_ubu.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,,,,BTO009_QCS1250_EMEA_UBU,,,,,,,,,,,,,,,,,,,,,,,Dell,,,,,,,,,Intel Graphics,,,,,,,,,,,,,,,,,,,,,,,,,Pro Slim QCS1250 BTO009_QCS1250_EMEA_UBU,,,,,,,,,,,,,,,,,,,,,,,,Четиринадесетядрен,,,,,Няма GB,,,,Business PC/Workstation,,,,,,,2600 MHz,,,
BGN,BGN,2139.63,1,лв2139.63,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Настолен компютър Dell Pro Slim (BTO009_QCS1250_EMEA), четиринадесетядрен Intel Core i5-14500 2.6/5.0GHz, 16GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 1 Type-C, клавиатура и мишка, Windows 11 Pro",https://www.jarcomputers.com/dell-pro-slim-qcs1250-bto009_qcs1250_emea-prod-pcdellbto009_qcs1250_emea.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,,,BTO009_QCS1250_EMEA,,,,,,,,,,,,,,,,,,,,,,,,Dell,,,,,,,,,Intel Graphics,,,,,,,,,,,,,,,,,,,,,,,,Pro Slim QCS1250 BTO009_QCS1250_EMEA,,,,,,,,,,,,,,,,,,,,,,,,,Четиринадесетядрен,,,,,Няма GB,,,,Business PC/Workstation,,,,,,,2600 MHz,,,
BGN,BGN,1395.88,1,лв1395.88,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Настолен компютър Dell Pro Tower (BTO007_QCT1250_EMEA_UBU), четиринадесетядрен Intel Core i5-14500 2.6/5.0GHz, 8GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 1 Type-C, клавиатура и мишка, Linux",https://www.jarcomputers.com/dell-pro-tower-qct1250-bto007_qct1250_emea_ubu-prod-pcdellbto007_qct1250_emea_ubu.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,,BTO007_QCT1250_EMEA_UBU,,,,,,,,,,,,,,,,,,,,,,,,,Dell,,,,,,,,,,,,Intel UHD Graphics 770,,,,,,,,,,,,,,,,,,,,,,,,Pro Tower QCT1250 BTO007_QCT1250_EMEA_UBU,,,,,,,,,,,,,,,,,,,,,,Четиринадесетядрен,,,,,Няма GB,,,,Business PC/Workstation,,,,,,,2600 MHz,,,
BGN,BGN,1295.08,1,лв1295.08,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Настолен компютър Dell Tower ECT1250 (ECT1250_RPLS-R_004_UBU), десетядрен Intel Core i5-14400 2.5/4.7GHz, 8GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 1 Type-C, клавиатура и мишка, Linux",https://www.jarcomputers.com/dell-tower-ect1250-ect1250_rpls-r_004_ubu-prod-pcdellect1250_rplsr_004_ubu.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,,,,,,,,,,,,,,ECT1250_RPLS-R_004_UBU,,,,,,,,,,,,,Dell,,,,,,,,,,,Intel UHD Graphics 730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ECT1250 ECT1250_RPLS-R_004_UBU,,,,,,,,,,,,,,,,,Десетядрен,,,,,,Няма GB,,,,Business PC/Workstation,,,,,,2500 MHz,,,,
BGN,BGN,1274.12,1,лв1274.12,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Настолен компютър Dell Slim ECS1250 (ECS1250_RPLS-R_003_UBU), десетядрен Intel Core i5-14400 2.5/4.7GHz, 8GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 1 Type-C, клавиатура и мишка, Linux",https://www.jarcomputers.com/dell-slim-ecs1250-ecs1250_rpls-r_003_ubu-prod-pcdellecsecs1250_rplsr_003_ubu.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,,,,,,,,,,,,,ECS1250_RPLS-R_003_UBU,,,,,,,,,,,,,,Dell,,,,,,,,,,,Intel UHD Graphics 730,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slim ECS1250 ECS1250_RPLS-R_003_UBU,,,,,,,,,,,,,,,,,,Десетядрен,,,,,,Няма GB,,,,Business PC/Workstation,,,,,,2500 MHz,,,,
BGN,BGN,1648.4,1,лв1648.40,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Настолен компютър Dell Slim ECS1250 (ECS1250_RPLS-R_003), десетядрен Intel Core i5-14400 2.5/4.7GHz, 8GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 1 Type-C, клавиатура и мишка, Windows 11 Pro",https://www.jarcomputers.com/dell-slim-ecs1250-ecs1250_rpls-r_003-prod-pcdellecs1250_rplsr_003.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,,,,,,,,,,,,ECS1250_RPLS-R_003,,,,,,,,,,,,,,,Dell,,,,,,,,,,,Intel UHD Graphics 730,,,,,,,,,,,,,,,,,,,,,,,,,,,Slim ECS1250 ECS1250_RPLS-R_003,,,,,,,,,,,,,,,,,,,Десетядрен,,,,,,Няма GB,,,,Business PC/Workstation,,,,,,2500 MHz,,,,
